Tenant Name,Users Count,Cloud Account Count (AWS),Cloud Account Count (GCP),Cloud Account Count (Azure),Cloud Asset Counts
accuknox-sandbox,64,1,1,0,11004
partnerdemo,144,3,2,4,16309
pwc,4,0,0,0,61
solutions,102,1,1,1,6341
BAH,3,0,0,1,70921
Inspira,7,0,1,0,1788
Intuitive,7,0,0,0,0
test,1,0,0,0,0
Tata Communication Ltd.,7,0,0,0,0
Dogfooding,48,1,0,0,11768
StageDogfooding,22,1,0,1,6486
testv132,1,0,0,0,0
test14,1,0,0,0,0
aug16,1,0,0,0,0
HP,2,0,0,0,0
Core42ai,4,0,0,0,0
Xcitium Co,1,0,0,0,0
CRISIL,6,0,0,0,5164
Hitachi Systems,7,2,0,0,1080
Bolt.earth,5,1,0,0,2871
Bolt,5,0,0,0,0
SCB,1,0,0,0,0
chirag+test1,1,0,0,0,0
Saigon Bank,1,0,0,0,0
WIX,1,0,0,0,0
Persistent,9,1,0,1,1191
test1.4aug17,1,0,0,0,0
RJORG_TOBEDELETED,1,0,0,0,0
Xcitium,7,1,0,0,21483
FSS,7,0,0,0,0
tcreatetest,1,0,0,0,0
wwpi,1,0,0,0,0
Aug28,1,0,0,0,0
TCS,8,0,0,0,0
WIX Ltd,8,0,0,0,0
Abott,2,0,0,0,0
Volta,2,1,0,0,612
Amazon marketplace,3,0,0,0,0
AI TEAM,11,2,2,1,5619
Accuknox,1,0,0,0,0
PagerDuty,2,1,0,0,331
Pointbase,5,0,1,0,1
JDRSS,3,1,1,0,1819
Purestorage,6,0,0,0,21051
Getronics,2,0,0,0,3
TCSJapan,7,2,0,0,914
NII Consulting,13,1,0,4,5173
automation,6,1,0,0,2524
GETRONICS-DEMO,14,0,0,0,0
Demo_1.5_test,3,0,0,0,0
demotest,1,0,0,0,0
Lyrid,3,0,0,0,0
EthiCo,2,0,0,0,0
multiubuntu,1,0,0,0,0
Bloomberg,2,0,0,0,0
rdemo,1,1,0,0,500
Class Technologies,5,0,0,0,2882
Cyberknight,4,0,0,0,0
ColPal,13,0,1,0,1710
Natica,8,1,1,0,215
AHV-demo,7,0,1,1,3183
Recro,5,0,0,0,0
RecroCo,1,0,0,0,0
Sparksupport Tible,5,0,0,0,142
testsignup,1,0,0,0,0
deleteby0602,2,0,0,0,25
security5g,2,0,0,0,0
Brasec,4,1,0,0,238
AIDASH,4,1,0,0,7532
BNP-ARVAL,1,0,0,0,0
BNP-ARVAL-DEMO,3,0,0,0,0
HCL Tech,3,0,1,0,2
Contagem,5,0,0,0,0
asset-test,4,1,0,0,1325
Cashinvoice,4,1,0,0,1603
RAN5G,7,1,1,1,3772
Osc Korea,2,0,0,0,0
Hitachi Vantara,2,0,0,0,5
Viettel,3,0,0,0,0
intellect7,4,0,0,0,0
Cybercommand,4,1,0,0,796
release-test,10,1,1,1,4668
Events,1,1,1,1,3303
bloomberg,4,1,0,0,207
CohesionTest,1,0,0,0,0
demo test rahul,1,0,0,0,0
eswar+11,1,0,0,0,0
8aprilorg,1,0,0,0,0
eswar+demo11,1,0,0,0,0
8aprilorgno2,1,0,0,0,0
acckkkkktest,1,0,0,0,0
Tataelxsi,1,0,0,0,0
Tataelxsi,8,0,0,0,24
eswardemoapr20,1,0,0,0,0
Ltimindtree,11,1,1,1,4681
VerizonPOC,3,0,0,0,0
Bizongo,3,1,0,0,4704
Evanssion,1,0,0,0,0
Evanssion,6,0,0,0,0
MetaAge,7,0,0,0,0
