Tenant Id,Tenant Name,Cloud Account,Last Scan Date,Status
4,accuknox-sandbox,aws: 788471067825,2024-04-24 01:03:02.487274+00:00,finished
4,accuknox-sandbox,gcp: accuknox-cnapp,2024-05-17 01:03:57.321189+00:00,storing data
11,partnerdemo,azure: 7e851ea0-b37b-4664-af56-6c277e085391,2024-05-17 01:05:20.969609+00:00,finished
11,partnerdemo,gcp: accuknox-cnapp,2024-05-17 01:57:28.059963+00:00,finished
11,partnerdemo,gcp: automatic-hawk-379007,2024-05-17 01:52:54.276792+00:00,finished
11,partnerdemo,azure: 592b85dc-9aee-4627-8def-70f761192e96,2024-05-17 01:16:08.262204+00:00,finished
11,partnerdemo,azure: 806928b5-44d7-43da-b44b-fca29698b2f9,2024-05-17 01:33:44.833940+00:00,finished
11,partnerdemo,aws: 788471067825,2024-04-23 14:53:34.535198+00:00,failed
11,partnerdemo,azure: a4d9a758-33ad-48e8-8d62-1221974c044e,2024-05-17 01:18:21.507625+00:00,finished
11,partnerdemo,aws: 201864127373,2024-05-17 01:57:01.512475+00:00,in progress
11,partnerdemo,aws: 463423328685,2024-05-17 02:16:22.298488+00:00,in progress
167,solutions,gcp: accuknox-cnapp,2024-05-17 01:58:32.446786+00:00,finished
167,solutions,aws: 788471067825,2024-04-24 01:09:09.429424+00:00,finished
167,solutions,azure: 869d6f2e-a8fb-4376-b31b-116c09510014,2024-05-17 01:57:19.464341+00:00,finished
1090,BAH,azure: f952a6af-42d4-459e-9ff8-ed4201c93c12,2024-05-17 01:58:38.437346+00:00,finished
169,Inspira,gcp: accuknox-cnapp,2024-05-17 02:11:08.208777+00:00,finished
265,Dogfooding,aws: 956994857092,2024-05-17 02:26:09.981296+00:00,finished
397,StageDogfooding,aws: 788471067825,2024-03-12 01:33:59.583846+00:00,finished
397,StageDogfooding,azure: 1584d226-0690-4250-bc86-e11988c7b4c1,2024-05-17 02:14:59.555005+00:00,finished
465,Hitachi Systems,aws: 218342462550,2024-05-17 02:18:42.550141+00:00,finished
465,Hitachi Systems,aws: 304046933002,2024-05-17 02:21:23.596159+00:00,finished
496,Bolt.earth,aws: 756584163976,2024-03-12 01:37:13.736195+00:00,finished
600,Persistent,aws: 214333532449,2024-03-12 01:43:10.705514+00:00,finished
600,Persistent,azure: e2028c7f-18ce-43b7-884c-d138ce3078bb,2024-05-17 02:31:34.513033+00:00,finished
629,Xcitium,aws: 902703094694,2024-05-17 03:27:22.664821+00:00,failed
859,Volta,aws: 217297510618,2024-05-17 03:20:05.152760+00:00,finished
1354,AI TEAM,azure: 7e851ea0-b37b-4664-af56-6c277e085391,2024-05-17 03:29:06.445506+00:00,finished
1354,AI TEAM,gcp: centering-study-396808,2024-05-17 03:30:18.943204+00:00,finished
